rank	file	subsystem	reason	current_awareness_result	recommended_annotations
1	golang/cluster_doctor/cluster_doctor_server/rules/heal_policy.go	cluster_doctor.healer	Auto-heal policy authority table. Patched 3× in Patch C M1/M2/M3 with zero direct anchors. A wrong disposition flip (HealPropose → HealAuto) silently re-enables Path-B-style mutation through ExecuteRemediation.	EMPTY	intent:remediation.single_gate_required; invariant:healer.only_cache_digest_mismatch_is_guarded_auto_today; forbidden_fix:promote_heal_auto_without_structured_action_and_dispatcher; intent:heal_auto_disposition_implies_dispatcher_routing
2	golang/cluster_doctor/cluster_doctor_server/rules/healer.go	cluster_doctor.healer	Healer/Dispatcher classifier contract. The "one mutation gate" enforcement point. Has 1 thin intent; needs the Dispatcher invariants that lock M2.	THIN (1 intent only)	invariant:rules_healer_must_not_mutate_directly; invariant:dispatcher_nil_is_fail_closed; intent:bounded_auto_healing_via_max_actions_and_circuit_breaker; forbidden_fix:reintroduce_remoteops_or_direct_node_agent_dial_from_rules_package
3	golang/cluster_doctor/cluster_doctor_server/rules/artifact_integrity.go	cluster_doctor.invariants	Emits cache_digest_mismatch findings. The ONLY rule today whose action step carries a structured RemediationAction (DELETE_CACHE_ARTIFACT). Changing the action shape breaks the dispatch path silently.	EMPTY	invariant:cache_digest_mismatch_must_emit_structured_action; invariant:delete_cache_artifact_params_owned_by_node_agent_not_path; forbidden_fix:emit_file_delete_action_for_cache_cleanup; intent:cache_is_reproducible_not_authoritative
4	golang/cluster_doctor/cluster_doctor_server/node_agent_dialer.go	cluster_doctor.transport	DELETE_CACHE_ARTIFACT transport + the FileDelete-not-supported stub. The stub's existence prevents a generic delete from ever shipping by accident.	EMPTY	invariant:file_delete_dialer_remains_a_stub_in_milestone_3; failure_mode:generic_delete_file_rpc_expands_mutation_surface; intent:typed_rpcs_only_for_node_state_mutation
5	golang/cluster_doctor/cluster_doctor_server/config.go	cluster_doctor.config	Default HealerMode = "observe" (Patch A). Flipping the default to enforce re-enables auto-mutation cluster-wide. Just patched in M1; zero direct anchors.	EMPTY	invariant:default_healer_mode_must_be_observe; failure_mode:default_enforce_silently_enables_path_b_style_mutation; intent:operator_must_explicitly_opt_in_to_enforce
6	golang/cluster_doctor/cluster_doctor_server/rules/registry.go	cluster_doctor.invariants	Invariant registry — every new HealAuto rule must be registered here. The promotion target for session-discovered invariant candidates.	THIN (1 intent only)	invariant:new_heal_auto_rules_must_pass_through_candidate_workflow; intent:registry_is_single_source_for_invariant_evaluation; forbidden_fix:register_invariant_without_corresponding_heal_policy_entry
7	golang/cluster_doctor/cluster_doctor_server/remediation_history.go	cluster_doctor.audit	Read path over /globular/cluster_doctor/audit/. The failure-rate gate reads this; corrupting the read silently weakens the gate.	THIN (2 anchors)	invariant:audit_read_must_not_mutate; invariant:failure_rate_gate_reads_only_published_audit_rows; failure_mode:audit_read_returns_partial_records_silently_passes_gate
8	golang/cluster_doctor/cluster_doctor_server/collector/snapshot.go	cluster_doctor.collector	Snapshot construction. Every doctor finding ultimately reads from this snapshot. Drift between snapshot freshness and policy decisions is a known concern.	EMPTY	invariant:snapshot_freshness_must_be_explicit_in_finding_evidence; intent:snapshot_is_the_only_input_to_invariant_evaluation; failure_mode:stale_snapshot_drives_wrong_remediation
9	golang/cluster_doctor/cluster_doctor_server/collector/collector.go	cluster_doctor.collector	Cluster state collector — 34 edits in last 60 days. Thin coverage (2 anchors) for a file with massive read surface across nodes/services/etcd.	THIN (2 anchors)	invariant:collector_reads_only_no_etcd_writes; intent:collector_failure_must_propagate_as_data_incomplete_not_silent; forbidden_fix:collector_writes_etcd_to_correct_observed_drift
10	golang/mcp/server.go	mcp.bridge	MCP server bootstrap + tool registration. Source of the session-drop issue after restarts. No anchors — Phase 6 (MCP reliability) needs to land facts here.	EMPTY	intent:mcp_session_state_must_survive_server_restart_or_clients_must_reconnect_cleanly; invariant:mcp_tools_must_use_gateway_client_pool_not_custom_clients; failure_mode:mcp_session_id_invalidated_silently_on_restart
